token,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,call_put
90802,ABCAPITAL,2024-08-29,242.5,5400,OPTSTK,NFO,5.000000,.CE
77596,ABCAPITAL,2024-08-29,180.0,5400,OPTSTK,NFO,5.000000,PE
90784,ABCAPITAL,2024-08-29,197.5,5400,OPTSTK,NFO,5.000000,.CE
90792,ABCAPITAL,2024-08-29,217.5,5400,OPTSTK,NFO,5.000000,.CE
90794,ABCAPITAL,2024-08-29,222.5,5400,OPTSTK,NFO,5.000000,.CE
90799,ABCAPITAL,2024-08-29,232.5,5400,OPTSTK,NFO,5.000000,.PE
90680,ABCAPITAL,2024-08-29,182.5,5400,OPTSTK,NFO,5.000000,.CE
77764,ABCAPITAL,2024-08-29,230.0,5400,OPTSTK,NFO,5.000000,PE
77607,ABCAPITAL,2024-08-29,190.0,5400,OPTSTK,NFO,5.000000,CE
90790,ABCAPITAL,2024-08-29,212.5,5400,OPTSTK,NFO,5.000000,.CE
90786,ABCAPITAL,2024-08-29,202.5,5400,OPTSTK,NFO,5.000000,.CE
90797,ABCAPITAL,2024-08-29,227.5,5400,OPTSTK,NFO,5.000000,.PE
90796,ABCAPITAL,2024-08-29,227.5,5400,OPTSTK,NFO,5.000000,.CE
90785,ABCAPITAL,2024-08-29,197.5,5400,OPTSTK,NFO,5.000000,.PE
77765,ABCAPITAL,2024-08-29,235.0,5400,OPTSTK,NFO,5.000000,CE
77868,ABCAPITAL,2024-08-29,275.0,5400,OPTSTK,NFO,5.000000,CE
90737,ABCAPITAL,2024-08-29,192.5,5400,OPTSTK,NFO,5.000000,.CE
77841,ABCAPITAL,2024-08-29,250.0,5400,OPTSTK,NFO,5.000000,CE
90801,ABCAPITAL,2024-08-29,237.5,5400,OPTSTK,NFO,5.000000,.PE
77855,ABCAPITAL,2024-08-29,260.0,5400,OPTSTK,NFO,5.000000,PE
77732,ABCAPITAL,2024-08-29,225.0,5400,OPTSTK,NFO,5.000000,CE
90787,ABCAPITAL,2024-08-29,202.5,5400,OPTSTK,NFO,5.000000,.PE
77733,ABCAPITAL,2024-08-29,225.0,5400,OPTSTK,NFO,5.000000,PE
77717,ABCAPITAL,2024-08-29,215.0,5400,OPTSTK,NFO,5.000000,PE
90735,ABCAPITAL,2024-08-29,187.5,5400,OPTSTK,NFO,5.000000,.CE
90804,ABCAPITAL,2024-08-29,247.5,5400,OPTSTK,NFO,5.000000,.CE
90736,ABCAPITAL,2024-08-29,187.5,5400,OPTSTK,NFO,5.000000,.PE
77829,ABCAPITAL,2024-08-29,240.0,5400,OPTSTK,NFO,5.000000,PE
77850,ABCAPITAL,2024-08-29,260.0,5400,OPTSTK,NFO,5.000000,CE
77837,ABCAPITAL,2024-08-29,245.0,5400,OPTSTK,NFO,5.000000,PE
90678,ABCAPITAL,2024-08-29,177.5,5400,OPTSTK,NFO,5.000000,.CE
77608,ABCAPITAL,2024-08-29,190.0,5400,OPTSTK,NFO,5.000000,PE
77587,ABCAPITAL,2024-08-29,170.0,5400,OPTSTK,NFO,5.000000,CE
77763,ABCAPITAL,2024-08-29,230.0,5400,OPTSTK,NFO,5.000000,CE
90803,ABCAPITAL,2024-08-29,242.5,5400,OPTSTK,NFO,5.000000,.PE
90676,ABCAPITAL,2024-08-29,172.5,5400,OPTSTK,NFO,5.000000,.CE
77595,ABCAPITAL,2024-08-29,180.0,5400,OPTSTK,NFO,5.000000,CE
90805,ABCAPITAL,2024-08-29,247.5,5400,OPTSTK,NFO,5.000000,.PE
77704,ABCAPITAL,2024-08-29,205.0,5400,OPTSTK,NFO,5.000000,CE
77611,ABCAPITAL,2024-08-29,195.0,5400,OPTSTK,NFO,5.000000,CE
90798,ABCAPITAL,2024-08-29,232.5,5400,OPTSTK,NFO,5.000000,.CE
77599,ABCAPITAL,2024-08-29,185.0,5400,OPTSTK,NFO,5.000000,CE
90806,ABCAPITAL,2024-08-29,252.5,5400,OPTSTK,NFO,5.000000,.CE
77639,ABCAPITAL,2024-08-29,200.0,5400,OPTSTK,NFO,5.000000,PE
35009,ABFRL,2024-09-26,-0.01,2600,FUTSTK,NFO,5.000000,ABFRLSEPFUT
35516,ABFRL,2024-08-29,-0.01,2600,FUTSTK,NFO,5.000000,ABFRLAUGFUT
78675,ABFRL,2024-08-29,350.0,2600,OPTSTK,NFO,5.000000,CE
78676,ABFRL,2024-08-29,350.0,2600,OPTSTK,NFO,5.000000,PE
78527,ABFRL,2024-08-29,290.0,2600,OPTSTK,NFO,5.000000,CE
49902,ABFRL,2024-08-29,355.0,2600,OPTSTK,NFO,5.000000,PE
78469,ABFRL,2024-08-29,280.0,2600,OPTSTK,NFO,5.000000,CE
78259,ABFRL,2024-08-29,260.0,2600,OPTSTK,NFO,5.000000,PE
78671,ABFRL,2024-08-29,345.0,2600,OPTSTK,NFO,5.000000,CE
78659,ABFRL,2024-08-29,320.0,2600,OPTSTK,NFO,5.000000,CE
78660,ABFRL,2024-08-29,320.0,2600,OPTSTK,NFO,5.000000,PE
78654,ABFRL,2024-08-29,310.0,2600,OPTSTK,NFO,5.000000,PE
78569,ABFRL,2024-08-29,300.0,2600,OPTSTK,NFO,5.000000,CE
65414,ABFRL,2024-08-29,365.0,2600,OPTSTK,NFO,5.000000,CE
78650,ABFRL,2024-08-29,305.0,2600,OPTSTK,NFO,5.000000,PE
78597,ABFRL,2024-08-29,305.0,2600,OPTSTK,NFO,5.000000,CE
78661,ABFRL,2024-08-29,325.0,2600,OPTSTK,NFO,5.000000,CE
78549,ABFRL,2024-08-29,295.0,2600,OPTSTK,NFO,5.000000,CE
78667,ABFRL,2024-08-29,335.0,2600,OPTSTK,NFO,5.000000,CE
78669,ABFRL,2024-08-29,340.0,2600,OPTSTK,NFO,5.000000,CE
78682,ABFRL,2024-08-29,370.0,2600,OPTSTK,NFO,5.000000,PE
78655,ABFRL,2024-08-29,315.0,2600,OPTSTK,NFO,5.000000,CE
78681,ABFRL,2024-08-29,370.0,2600,OPTSTK,NFO,5.000000,CE
78519,ABFRL,2024-08-29,285.0,2600,OPTSTK,NFO,5.000000,CE
65421,ABFRL,2024-08-29,365.0,2600,OPTSTK,NFO,5.000000,PE
78273,ABFRL,2024-08-29,270.0,2600,OPTSTK,NFO,5.000000,PE
36202,ABFRL,2024-08-29,375.0,2600,OPTSTK,NFO,5.000000,CE
78680,ABFRL,2024-08-29,360.0,2600,OPTSTK,NFO,5.000000,PE
65423,ABFRL,2024-08-29,390.0,2600,OPTSTK,NFO,5.000000,PE
78670,ABFRL,2024-08-29,340.0,2600,OPTSTK,NFO,5.000000,PE
78656,ABFRL,2024-08-29,315.0,2600,OPTSTK,NFO,5.000000,PE
78679,ABFRL,2024-08-29,360.0,2600,OPTSTK,NFO,5.000000,CE
78683,ABFRL,2024-08-29,380.0,2600,OPTSTK,NFO,5.000000,CE
78663,ABFRL,2024-08-29,330.0,2600,OPTSTK,NFO,5.000000,CE
78258,ABFRL,2024-08-29,260.0,2600,OPTSTK,NFO,5.000000,CE
78548,ABFRL,2024-08-29,290.0,2600,OPTSTK,NFO,5.000000,PE
36203,ABFRL,2024-08-29,375.0,2600,OPTSTK,NFO,5.000000,PE
65422,ABFRL,2024-08-29,390.0,2600,OPTSTK,NFO,5.000000,CE
78264,ABFRL,2024-08-29,270.0,2600,OPTSTK,NFO,5.000000,CE
78568,ABFRL,2024-08-29,295.0,2600,OPTSTK,NFO,5.000000,PE
78666,ABFRL,2024-08-29,330.0,2600,OPTSTK,NFO,5.000000,PE
78674,ABFRL,2024-08-29,345.0,2600,OPTSTK,NFO,5.000000,PE
78684,ABFRL,2024-08-29,380.0,2600,OPTSTK,NFO,5.000000,PE
